title,title_id,genre,authors,weekdays,length,subscribers,views,likes,status,synopsis,rating,year
"I Shall Disappear, Grand Duke",9054,ROMANTIC FANTASY,"cel, Podomaru",THURSDAY,Short,24210,201442,6567,ONGOING,"Satu-satunya lelaki yang memberi Yulia sehangat di masa kecilnya kini telah menjadi pahlawan perang sekaligus pria tampan yang dikagumi semua orang. Ketika tahu bahwa ia akan menikahi pria tersebut, Fernand, Yulia mengira cintanya memang sudah ditakdirkan. Namun Fernand tak mengenalinya, tak menyukainya, dan menolak untuk berbicara maupun berinteraksi dengannya. Cinta Yulia kepada Fernand perlahan memudar, namun di saat ia bertekad untuk menceraikan Fernand dan menghilang dari hadapannya, Fernand malah…",5,2025
Bayangan Difraksi,9052,SLICE OF LIFE,moccamanjuu,"MONDAY, WEDNESDAY",Short,14831,333083,16787,ONGOING,"Udah beda agama, beda suku pula, tapi kok Radith dan Tania makin deket aja?! Di tengah persiapan lomba Festival Band, keduanya malah harus menata perasaan masing-masing. Satu band, satu panggung, tapi dua hati yang (mungkin) gak seharusnya saling jatuh. Apalagi kalau sampai yang lain tahu… bisa berabe!",5,2025
I Decided Not to Pretend I Don't See It Anymore,9051,ROMANTIC FANTASY,"Lee Jae Hyun, DAMA, Yulbi","MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY",Short,42221,1291400,46429,ONGOING,"Ophelia Heavenwalker hidup dalam pernikahan yang awalnya ia kira bahagia… hingga ia memergoki suaminya, Stien, berselingkuh dengan wanita bernama Ariel Green. Pengkhianatan itu menghancurkannya hingga ia jatuh sakit dan akhirnya meninggal. 

Namun tak disangka, Ophelia malah terbangun kembali ke tiga tahun sebelum kematiannya, tepat saat Stien pertama kali membawa Ariel ke rumah mereka! Kali ini, Ophelia bukan lagi istri naif yang mudah percaya. Dengan ingatan tentang masa depan yang tragis, Ophelia bertekad menggunakan kesempatan kedua ini untuk membalas dendam, merebut kembali hidupnya, dan menghancurkan dua orang yang telah mengkhianatinya!",5,2025
That One Kid in Class,9050,DRAMA,YOUNG ONE,SATURDAY,Short,7082,90240,6364,ONGOING,"Di semua kelas pasti ada satu anak yang dianggap 'unik' oleh teman-temannya. Kalau nggak ada, mungkin kamu orang unik tersebut? Mulai dari kisah cowo alpha gadungan sampai pacar rapper berjiwa hip-hop sejati, inilah kisah-kisah murid unik di sekolah yang mungkin juga ada di sekitarmu!",1,2025
The Top Assassin in Another World,9049,FANTASY,"akym, Kazuki Amamia",FRIDAY,Short,16647,117856,7568,ONGOING,"Kai Shinjo hidup dengan dua wajah: Seorang siswa SMA biasa sekaligus pembunuh bayaran mematikan. Hidupnya berubah total ketika seluruh siswa di kelasnya tiba-tiba ‘dipanggil’ ke dunia lain sebagai calon pahlawan untuk mengalahkan raja iblis yang kejam.

Di dunia baru itu, setiap siswa mendapatkan kekuatan yang hebat… kecuali Kai. Ia hanya mendapat skill sederhana bernama kepekaan yang membuatnya diejek sebagai yang paling tidak berguna. Namun, mereka tidak tahu satu hal bahwa insting pembunuh bayaran Kai membuat skill itu menjadi senjata paling berbahaya. Dengan kemampuan membaca musuh secara akurat dan mematikan, ke mana kekuatan Kai membawanya?",3.1,2025
Proof of Dignity,9047,DRAMA,"yum.m, Juckrok",WEDNESDAY,Short,7997,63710,7617,ONGOING,"Kwak Gunyoung, seorang anak dan ayah yang dipenjara ini menyadari bahwa di dunia yang tidak adil ini, ada tuntutan khusus dari anak keturunan orang berada.
Seperti anak jaksa dan keluarga terpandang yang selalu diharapkan menjadi anak yang memberikan ""lebih""; Lebih pintar, lebih sopan, hingga masa depan yang lebih cerah.
Sebagai anak dari keluarga ""rendahan"", ternyata Gunyoung merupakan anak genius yang jauh lebih pintar dari anak seusianya.
Bagaimana Gunyoung menjalani kehidupan ""tidak adil""nya itu dengan bakat yang ia punya?",1.31,2025
Taming the Arrogant Grand Duke,9046,ROMANTIC FANTASY,"ANDO, Nanal, NUHAEBOM",TUESDAY,Short,25508,362193,12036,ONGOING,"Tak cukup kehilangan keluarga dan statusnya gara-gara istri baru mendiang ayahnya, Shayla juga akan dinikahkan dengan bangsawan tua bangka! Untuk menghindari hal tersebut dan merebut kembali haknya, Shayla membuat kesepakatan dengan putra mahkota untuk mendekati Grand Duke Visence. Namun, hubungan yang harusnya hanya terjalin selama satu malam tak berakhir begitu saja. Mengapa Visence tiba-tiba terobsesi dengannya?",4.53,2025
The Stand-in Daughter Wants to be Free,9044,ROMANTIC FANTASY,"Kayoko, Kayanagi Kazuha, Emori Yui",SUNDAY,Short,14252,106752,7192,ONGOING,"Nina Lindra adalah seorang penyihir muda berbakat yang sering menyamar sebagai saudara angkatnya, Liria Lusto, saat ujian demi membalas budi kepada keluarga yang telah mengadopsinya. Keadaan menjadi rumit ketika Raja memerintahkan Keluarga Lusto untuk menyembuhkan Pangeran Erland yang jatuh sakit.

Karena kemampuan sihir penyembuhan Nina jauh melampaui Liria, dia pun terpaksa harus menggantikan Liria dalam menyembuhkan sang pangeran. Seiring berjalannya waktu, dia perlahan menemukan kehangatan yang tak pernah dia duga muncul dari balik sikap dingin sang pangeran. Namun, sampai kapan kebohongan ini bisa dia pertahankan?",2.42,2025
The Otherworldly Genius Method Actor,9043,FANTASY,"HaeGa, jungseongmanyeo, JANGTAN",SATURDAY,Short,23875,354384,18002,ONGOING,"Setelah resign dari pekerjaannya sebagai desainer, Kang Woojin berniat untuk pergi bekerja sekaligus liburan ke Australia. Namun, takdir ternyata membawanya ke profesi aktor. Walau tidak punya pengalaman berakting sama sekali, Kang Woojin bisa menampilkan akting yang sangat nyata berkat kemunculan sebuah 'kotak hitam'. Kariernya sebagai aktor pun mulai naik, tetapi apakah ada harga yang harus dibayar sebagai ganti dari 'jalan pintas' itu?",3.62,2025
No Obsession for Yureia,9042,ROMANTIC FANTASY,"gurujyu, stu.neulbom, YunYeoeum",FRIDAY,Short,37130,575141,27339,ONGOING,"Setelah berhasil keluar dari dunia novel yang kubaca dan kembali menjalani kehidupan asliku, aku malah kembali masuk ke dalam dunia novel tersebut untuk kedua kalinya. Namun kini aku merasuk ke tubuh karakter lain… Yureia Cratia! Dengan identitas baru sebagai Yureia, aku bertekad untuk merebut kembali serikat dagang yang sudah kubangun dengan susah payah dan mengungkap siapa pembunuhku saat aku masuk ke dalam novel pertama kalinya. Tapi semakin dicari, semakin banyak pertanyaan yang muncul. Bisakah aku menguak misteri ini sembari menyembunyikan identitasku?",5,2025
